photo_url,location_lng,location_lat,scene,scene_id,pname,cityname,adname,townName,address,tel,tag,pcode,parent,distance,importance,biz_ext,biz_type,recommend,type,discount_num,gridcode,typecode,shopinfo,poiweight,citycode,children,alias,event,entr_location,indoor_map,email,timestamp,website,adcode,postcode,match,business_area,indoor_data,childtype,exit_location,shopid,navi_poiid,groupbuy_num,isin_region,查询关键词,手机号识别,,行业大类,行业子类
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/bbf26d1d8849a77826a69ccab99f7a99'}]",108.882107,34.277723,藏腹堂,B0FFL8GLZF,陕西省,西安市,莲湖区,未央宫街道,丰收路26号东北50米,181****5219,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;医疗保健服务场所;医疗保健服务场所,0,5108373001,90000,0,[],29,[],[],[],[],0,[],2021/11/16 1:53,[],610104,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,医疗保健服务场所
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/7fd7b8641604f5178bd330659a080a15'}]",108.910498,34.280821,宣禾堂,B0H6X5VH12,陕西省,西安市,莲湖区,未央宫街道,丰禾路莲湖生活家东北侧约30米,187****8110,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;医药保健销售店;药房,0,5108373222,90601,0,[],29,[],[],[],[],0,[],2021/12/2 11:42,[],610104,[],0,丰禾路,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,医药保健销售店
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/a468cd0358a5fbe7e1df83b52ecb570b'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/3a8d3dfc9c58422bf82355a0016382bf'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/8ff5429a00e40eefc7590d74be483f8c'}]",108.924099,34.286879,津美医疗美容,B0FFL9A5OW,陕西省,西安市,莲湖区,未央宫街道,星火路87号金辉天鹅湾14号楼(底商)4层,155****8029,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;专科医院;整形美容,0,5108374312,90201,2,[],29,[],[],[],[],0,[],2021/12/16 3:52,[],610104,[],0,红庙坡,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,专科医院
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/68e946890797debe18a4db7328242919'}]",108.88623,34.285952,品济口腔,B0FFLI3URK,陕西省,西安市,莲湖区,未央宫街道,桃园街道大兴西路大唐世家高层移动营业厅隔壁,155****2169;139****8660,[],610000,B0FFFO5VUM,[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;专科医院;口腔医院,0,5108374002,90202,2,[],29,[],[],[],[],0,[],2021/12/16 6:59,[],610104,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",202,[],[],[],0,yes,,1,,医疗保健服务,专科医院
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/ad39774c2bed43b82ae05123eb255d16'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/b9963328c4aa829a8d59d66fd0bfb3a7'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/dc716fd6eca7a3fd51fa9a3d29aac130'}]",108.923497,34.292488,西安莲湖铭成口腔门诊部,B0FFMCJWMH,陕西省,西安市,莲湖区,未央宫街道,龙首北路西段纬二十六街永新苑小区西区6号楼底商二楼,189****3384,[],610000,B0FFH1CZ0V,[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;专科医院;口腔医院,0,5108375302,90202,2,[],29,[],[],[],[],0,[],2021/11/22 4:41,[],610104,[],0,红庙坡,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",202,[],[],[],0,yes,,1,,医疗保健服务,专科医院
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/c29297b6b621c379c91c602a1a86ab1d'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/38b37c9573c613cf82c654f4da1b686c'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/a90f74511bf235004b2eb6a48874a7d2'}]",108.861788,34.279916,西安市莲湖区三民村卫生所,B0FFFO61IF,陕西省,西安市,莲湖区,未央宫街道,枣园北路2号,135****1056,[],610000,[],[],[],"{'cost': [], 'rating': '3.5'}",[],0,医疗保健服务;诊所;诊所,0,5108363812,90300,2,[],29,[],[],[],"108.861601,34.279569",0,[],2021/12/14 15:43,[],610104,[],0,枣园,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],I49F021007_120640,0,yes,,1,,医疗保健服务,诊所
[],108.916255,34.288618,仁安大药房(永安路店),B0H2PHQ6W5,陕西省,西安市,莲湖区,未央宫街道,大白杨龙湖水晶郦城7幢2单元1层20109号,133****3522,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;医药保健销售店;药房,0,5108374310,90601,0,[],29,[],[],[],[],0,[],2021/11/23 3:17,[],610104,[],0,红庙坡,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,医药保健销售店
[],108.932022,34.28989,祥云医药,B0H10XWC1N,陕西省,西安市,莲湖区,未央宫街道,永新路永新苑小区1号楼2单元一层西户,173****4592,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;医药保健销售店;药房,0,5108374421,90601,0,[],29,[],[],[],[],0,[],2021/12/9 15:46,[],610104,[],0,红庙坡,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,医药保健销售店
[],108.92285,34.287483,明慕堂视力养护中心,B0H0OSXLI1,陕西省,西安市,莲湖区,未央宫街道,星火路金辉天鹅湾12号楼2楼,189****7537,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;医疗保健服务场所;医疗保健服务场所,0,5108374312,90000,0,[],29,[],[],[],[],0,[],2021/12/17 10:37,[],610104,[],0,红庙坡,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,医疗保健服务场所
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/2ffee6937adbcb8b0c62d87d2af71708'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/e4a33f42ada1144278a80eac96c06533'}]",108.90144,34.283419,111医药馆(鑫苑大都汇店),B0FFK1WO4Y,陕西省,西安市,莲湖区,未央宫街道,"丰禾路北侧鑫苑大都汇5幢3单元1层30103号,30104号商铺",151****4328,[],610000,B0FFFKIGGU,[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;医药保健销售店;药房,0,5108374200,90601,0,[],29,[],[],[],[],0,[],2021/12/19 13:34,[],610104,[],0,红庙坡,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",202,[],[],[],0,yes,,1,,医疗保健服务,医药保健销售店
